Gender,Age,Handness,Race,Education,Language,ImgID,Scan,Interval,Training,Face,People,Place,Activity,B75_Span,B75_L,B75_R,B90_Span,B90_L,B90_R,B95_Span,B95_L,B95_R,Distinc_Test,Distinc_Encode40,Distinc_Encode60,Distinc_Encode70,Mem_s
-1,70,1,-1,7,0,NEUR46_scan1_img08_day04_S.pt,1,4,1,1,1,23,7,0.005199307,0.166666667,0.833333333,0.08761766800000001,0.5371900829999999,0.462809917,0.17880085699999998,0.568862275,0.431137725,0.700716818,2.530810804,0.8523530159999999,0.6539580970000001,4
-1,70,1,-1,7,0,NEUR46_scan1_img10_day08_D.pt,1,8,-1,1,1,6,0,0.050259965,0.25862069,0.74137931,0.099927589,0.398550725,0.601449275,0.073875803,0.398550725,0.601449275,0.373920499,2.776916459,0.6152028270000001,0.58560235,3
-1,70,1,-1,7,0,NEUR46_scan1_img10_day15_S.pt,1,15,1,0,0,38,29,0.001733102,0.0,1.0,0.003620565,0.6,0.4,0.00267666,0.6,0.4,0.4982662920000001,1.652496356,1.272334898,1.28423864,1
-1,70,1,-1,7,0,NEUR46_scan1_img11_day15_S.pt,1,15,1,1,1,27,26,0.012998267,0.133333333,0.8666666670000001,0.306299783,0.205673759,0.7943262409999999,0.300321199,0.27807486600000003,0.721925134,0.34975899200000005,2.392280197,0.7890264779999999,0.699220055,3
-1,70,1,-1,7,0,NEUR46_scan1_img12_day13_D.pt,1,13,-1,1,1,30,29,0.020797227,0.708333333,0.291666667,0.017378711,0.708333333,0.291666667,0.012847966,0.708333333,0.291666667,0.380838378,1.7943918559999998,0.750851357,0.598660701,1
-1,70,1,-1,7,0,NEUR46_scan1_img13_day06_S.pt,1,6,1,1,1,23,7,0.014731369,0.294117647,0.705882353,0.097031137,0.12686567199999998,0.873134328,0.416488223,0.073264781,0.926735219,0.496412675,4.854850845,1.403815012,0.6234226620000001,3
-1,70,1,-1,7,0,NEUR46_scan1_img14_day07_S.pt,1,7,1,0,1,38,29,0.01559792,0.611111111,0.388888889,0.15206372199999998,0.052380952,0.947619048,0.11241969999999997,0.052380952,0.947619048,0.507340566,1.5532297780000002,0.727413596,0.601215142,0
-1,70,1,-1,7,0,NEUR46_scan1_img14_day13_D.pt,1,13,-1,0,1,0,29,0.008665510999999999,0.9,0.1,0.072411296,0.21,0.79,0.066381156,0.266129032,0.733870968,0.360545594,2.238422849,1.207994757,0.949702579,1
-1,70,1,-1,7,0,NEUR46_scan1_img16_day07_S.pt,1,7,1,1,1,0,26,0.00779896,0.666666667,0.333333333,0.048515568,0.328358209,0.671641791,0.035867238,0.328358209,0.671641791,0.35209217600000003,4.67857168,1.572981019,0.956104497,3
-1,70,1,-1,7,0,NEUR46_scan1_img16_day12_D.pt,1,12,-1,1,1,27,0,0.00779896,0.111111111,0.8888888890000001,0.018102824,0.04,0.96,0.021948608,0.024390244,0.975609756,0.455335541,6.32925252,3.283418444,1.947455152,1
